Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Gm45486,CM,7.046947355,1.22E-45
Gm48004,CM,7.143785477,1.22E-45
Gm29015,CM,6.330864649,1.46E-41
Chrna10,CM,6.718775249,1.46E-41
Gm50221,CM,7.126827228,4.65E-36
1700095B10Rik,CM,5.638541152,3.57E-32
5330439A09Rik,CM,7.251238233,2.76E-31
AU023070,CM,6.273484399,1.65E-26
Gm47898,CM,6.136892098,1.65E-26
Dbhos,CM,5.813770875,6.40E-23
C7,CF,6.224875869,0
Tll2,CF,6.02319992,0
Rgs17,CF,5.63534984,0
Pcdh9,CF,5.60396452,0
Hmcn2,CF,5.533044323,0
Ifi205,CF,5.511336837,0
Dchs2,CF,5.491170316,0
Gfra1,CF,5.463718697,0
Sec16b,CF,5.277300754,0
Gm36535,CF,5.263500313,0
Trhde,CF,5.222077655,0
Lvrn,CF,5.157678947,0
Scara5,CF,5.119846762,0
D630003M21Rik,CF,4.961460381,0
Syt17,CF,4.960053249,0
Medag,CF,4.940562674,0
Pdgfra,CF,4.927772384,0
Tenm3,CF,4.909840414,0
Gfpt2,CF,4.892126624,0
Bmper,CF,4.868429618,0
C1qtnf7,CF,4.815983272,0
Sh3rf3,CF,4.810646232,0
Foxp2,CF,4.758764602,0
Msc,CF,4.723778551,0
Gpm6b,CF,4.708691606,0
Ccbe1,CF,4.708224943,0
Dclk1,CF,4.66992289,0
Ms4a4d,CF,4.615986719,0
Htra3,CF,4.60751245,0
Svep1,CF,4.605572478,0
Adcy2,CF,4.567512775,0
Slc1a3,CF,4.554429411,0
Eya2,CF,4.522292772,0
Naaladl2,CF,4.472067191,0
Kcnk2,CF,4.451442513,0
Olfml1,CF,4.424086709,0
Slit2,CF,4.384909386,0
Lpar1,CF,4.345017987,0
Negr1,CF,4.304837066,0
Pcolce2,CF,4.285631686,0
Col6a6,CF,4.277187243,0
Dpep1,CF,4.255867577,0
Clec3b,CF,4.219258453,0
Smoc2,CF,4.21372931,0
Vcan,CF,4.179175053,0
Mme,CF,4.163160538,0
Gm34567,CF,5.982384269,2.37E-302
9330159F19Rik,CF,5.21122719,2.33E-300
Penk,CF,4.428862754,6.28E-300
Gm9947,CF,5.652792628,1.01E-265
Has2os,CF,5.710081349,2.02E-242
Ptges,CF,4.212651614,1.79E-241
Has2,CF,4.932008773,3.06E-230
Fgf10,CF,5.670167965,9.24E-218
Ano3,CF,4.585928034,1.69E-213
Gm43150,CF,5.691143346,3.04E-211
Twist2,CF,5.300084087,8.91E-182
Larp6,CF,4.698486616,7.22E-175
Adamts19,CF,4.578010278,2.96E-173
Necab1,CF,4.777316946,6.36E-173
Gm15866,CF,4.685853183,4.85E-158
A830012C17Rik,CF,5.776795486,8.16E-135
Megf10,CF,4.320871761,3.27E-125
Gm3892,CF,4.28218488,7.08E-121
4930474M22Rik,CF,4.860608872,2.26E-103
Dio3os,CF,5.204226405,4.90E-96
Stk33,CF,4.944833823,2.40E-92
A230001M10Rik,CF,4.911454151,1.36E-91
Duoxa1,CF,4.773244303,8.14E-91
4930570G19Rik,CF,4.257127284,9.25E-82
Frmd7,CF,5.291452201,1.98E-81
Myoc,CF,4.268168713,5.61E-79
Duox1,CF,5.000761955,4.34E-78
Il12a,CF,4.952662075,2.74E-75
6430584L05Rik,CF,5.853897635,1.60E-65
Prr16,CF,4.422236846,3.96E-65
Onecut2,CF,5.017419836,2.93E-64
Asphd2,CF,4.993219473,1.50E-60
4933409K07Rik,CF,4.347751087,4.14E-60
Gm46323,CF,4.255333392,5.99E-60
Gm19610,CF,5.15298809,8.33E-57
9330154J02Rik,CF,4.797893144,1.49E-49
Gm15723,CF,6.417260685,1.54E-49
Gm16263,CF,5.525720294,1.08E-46
Nat8f3,CF,4.332563488,2.11E-42
Dnmt3l,CF,4.562748738,1.94E-41
Gm36107,CF,4.885013234,1.26E-39
Begain,CF,4.812473332,6.48E-36
Aox3,CF,4.340293417,6.64E-33
Gm15684,CF,5.147482796,9.12E-32
A430027H14Rik,CF,4.472550601,1.19E-27
Gm29101,CF,4.55083782,2.18E-22
Gm15958,CF,4.252964891,1.56E-21
Bbox1,CF,4.189552938,1.99E-20
Gm50143,CF,4.276848121,1.39E-19
4930473D10Rik,CF,4.910138015,4.20E-18
2810433D01Rik,CF,4.152906465,1.06E-17
Gm13372,CF,4.425233376,1.28E-17
Aspg,CF,5.090328679,4.10E-17
Tex26,CF,4.157810426,2.76E-15
Muc16,EpiC,10.47221316,0
Bnc1,EpiC,9.934989954,0
Chst4,EpiC,9.725597959,0
Folh1,EpiC,9.559519355,0
Lrrn4,EpiC,9.357666414,0
Upk1b,EpiC,9.322142622,0
Slc26a3,EpiC,9.168746453,0
Cftr,EpiC,9.056393294,0
Crb2,EpiC,9.016753919,0
Fgfbp1,EpiC,8.990878003,0
Gm37754,EpiC,8.872026555,0
Vtcn1,EpiC,8.819781716,0
Gm29266,EpiC,8.742099273,0
Zdbf2,EpiC,8.651604411,0
Cyp2s1,EpiC,8.589211886,0
Lrp2,EpiC,8.566223137,0
Calcb,EpiC,8.556497611,0
Grem2,EpiC,8.551239568,0
Cybrd1,EpiC,8.529648824,0
Rspo1,EpiC,8.475981922,0
Cgn,EpiC,8.41325713,0
Cdh12,EpiC,8.372169036,0
Nkain4,EpiC,8.140351819,0
Upk3b,EpiC,8.135911463,0
Prr15l,EpiC,8.006395811,0
Fxyd3,EpiC,7.827722474,0
Wwc1,EpiC,7.688376204,0
Pcnx2,EpiC,7.675775484,0
Tmem151a,EpiC,7.638276563,0
Krt19,EpiC,7.557311622,0
Msln,EpiC,7.377620052,0
Tm4sf5,EpiC,7.363302904,0
Xpnpep2,EpiC,7.28517372,0
Grip1,EpiC,7.281431818,0
Slc6a4,EpiC,7.276800814,0
Gata5,EpiC,7.208146191,0
Cldn10,EpiC,7.130155154,0
Gpr39,EpiC,6.73900928,0
Myrf,EpiC,6.733821656,0
Col6a5,EpiC,6.704392768,0
Elavl2,EpiC,7.500035652,2.60E-303
Ppm1n,EpiC,8.480069947,1.69E-288
Myl7,EpiC,6.902872113,2.46E-287
L1td1,EpiC,7.610926558,1.80E-283
Actn3,EpiC,6.842988883,6.16E-274
Gm11775,EpiC,7.838451652,2.86E-265
Lratd1,EpiC,7.172888907,2.48E-245
Wfdc2,EpiC,8.477447735,3.24E-211
Cldn3,EpiC,7.837959962,3.13E-209
AC109619.1,EpiC,7.099360148,1.20E-202
Clic3,EpiC,7.812581565,1.85E-198
Vat1l,EpiC,7.236319711,1.53E-192
A730046J19Rik,EpiC,11.50138669,1.87E-189
Plet1,EpiC,6.787825372,5.61E-189
Fam83b,EpiC,7.587513762,1.23E-188
Ckmt1,EpiC,7.787507497,2.52E-183
Fam110c,EpiC,6.724625508,4.79E-183
Scel,EpiC,6.998616835,4.85E-181
Apol7a,EpiC,8.297935266,8.01E-180
Gm8126,EpiC,11.40044402,1.83E-165
Lypd8,EpiC,10.32915853,1.83E-165
Foxq1,EpiC,7.869441955,1.69E-158
Fam151a,EpiC,7.084036555,5.13E-157
Gabra4,EpiC,7.921507674,5.34E-137
Igfn1,EpiC,7.652301086,3.57E-136
Grin2a,EpiC,6.851798574,3.14E-133
Gm6260,EpiC,7.566454569,6.94E-122
Tat,EpiC,6.939739784,2.46E-114
Clca3a2,EpiC,7.150828848,4.29E-110
Gm13293,EpiC,6.812781549,9.68E-106
Gm50304,EpiC,9.322169376,7.18E-105
6030466F02Rik,EpiC,8.357318676,4.03E-97
Vsnl1,EpiC,6.828819319,4.06E-95
B230209E15Rik,EpiC,7.939114718,2.67E-94
Lrrc31,EpiC,9.656236288,6.23E-74
Gm5799,EpiC,9.274148557,1.82E-69
Trpv6,EpiC,9.227210721,1.82E-69
Ccdc187,EpiC,6.958787039,2.58E-69
Grip1os3,EpiC,7.244210059,3.08E-68
Isl1,EpiC,8.317236357,6.67E-61
4933401H06Rik,EpiC,6.742311595,6.99E-61
Adgrf3,EpiC,7.218212771,1.41E-51
Gm30849,EpiC,8.845943978,3.97E-51
Isx,EpiC,8.553767842,3.97E-51
Kirrel2,EpiC,7.80321207,4.05E-51
Mylk2,EpiC,6.823521471,3.23E-41
Gm44930,EpiC,7.687040763,4.10E-40
5430427N15Rik,EpiC,7.638669114,4.10E-40
Sult4a1,EpiC,7.477549369,4.10E-40
Ano9,EpiC,7.062590228,4.29E-29
Rnf112,EpiC,6.86918834,1.64E-27
Gm32850,EpiC,6.786739187,1.66E-27
Wnt7b,EpiC,7.556422415,6.43E-21
1700025F24Rik,EpiC,7.336114304,6.43E-21
Cacng5,EpiC,7.740005769,6.47E-21
Dcaf12l2,EpiC,6.724287202,6.52E-21
2700068H02Rik,EpiC,6.700599036,1.05E-12
D630039A03Rik,EpiC,6.860459477,3.35E-07
Gm29007,EC,6.078352584,0
Dipk2b,EC,6.000029396,0
Cyyr1,EC,5.766790838,0
Ccdc85a,EC,5.689006424,0
Ccm2l,EC,5.576455278,0
Adgrl4,EC,5.559831827,0
Shank3,EC,5.535822433,0
Rassf9,EC,5.466825119,0
Clec1a,EC,5.426032082,0
Samd12,EC,5.339002955,0
Ushbp1,EC,5.303945076,0
Rasgrf2,EC,5.303197245,0
Pcdh17,EC,5.251334441,0
Mcf2l,EC,5.188488375,0
D5Ertd615e,EC,5.159977727,0
Egfl7,EC,5.135725195,0
Nova2,EC,5.112377961,0
Zfp366,EC,5.095595049,0
Ptprb,EC,5.012688767,0
Kank3,EC,4.948042181,0
Sncaip,EC,4.924480388,0
Flt1,EC,4.921648858,0
Car8,EC,4.906008297,0
Sybu,EC,4.817220409,0
Klhl4,EC,4.808816758,0
Tie1,EC,4.793015268,0
Ablim3,EC,4.772371546,0
Nos3,EC,4.771677845,0
Myct1,EC,4.75322772,0
Abcb1a,EC,4.752962537,0
Ica1,EC,4.750526708,0
Rasip1,EC,4.750282712,0
Slfn3,EC,4.724149926,0
She,EC,4.721852161,0
Podxl,EC,4.69694596,0
Btnl9,EC,4.69340983,0
Gata2,EC,4.669167568,0
Erg,EC,4.641814372,0
Plcb1,EC,4.586263844,0
Icam2,EC,4.54939941,0
Arhgef15,EC,4.546370381,0
Aplnr,EC,4.50131566,0
Gm15581,EC,4.488401545,0
Kdr,EC,4.482890194,0
Kcnc2,EC,4.559619947,1.84E-290
Tmem44,EC,4.6420208,1.33E-279
Aqp7,EC,4.796497081,2.18E-279
Tmem255b,EC,4.8477789,1.59E-274
Sox17,EC,4.879999776,3.04E-269
Rps6kl1,EC,5.117215643,6.79E-264
Rundc3b,EC,4.483570035,5.46E-248
Pkn3,EC,4.705761636,3.20E-242
Lhx6,EC,4.81489587,2.89E-223
Ramp3,EC,4.690384046,1.44E-216
Mall,EC,5.003635364,1.95E-189
Eva1a,EC,4.666325495,4.22E-185
Wscd1,EC,4.483657114,5.03E-183
Fam107a,EC,5.040635476,7.79E-151
D830026I12Rik,EC,5.459556497,1.46E-133
9130017K11Rik,EC,4.967404024,5.76E-122
Gm32688,EC,4.48993277,2.02E-114
Serpina1b,EC,4.550908704,3.04E-114
Bmx,EC,4.740530536,2.15E-105
Usp43,EC,4.895544304,2.19E-100
Rtp3,EC,4.903544149,2.51E-97
Gm15587,EC,6.150754396,1.21E-90
Klra9,EC,5.302355735,1.99E-84
Gm15984,EC,4.825925007,9.92E-77
Adgrg3,EC,4.571058448,1.34E-71
G630055G22Rik,EC,5.793052917,9.20E-71
Slc1a1,EC,4.587423518,4.40E-65
Acr,EC,4.494931143,6.52E-55
Wnt9b,EC,7.178003253,3.39E-52
Ssu2,EC,5.077372531,5.31E-51
4930545L23Rik,EC,5.082796015,4.22E-49
Ankdd1b,EC,4.744933155,1.51E-44
Gm12472,EC,4.743801225,2.64E-43
Mmrn1,EC,4.795004399,3.74E-38
Gabrb2,EC,4.687163532,2.38E-34
Gm9889,EC,4.554320053,3.06E-32
Adh6b,EC,6.689969951,2.60E-29
Klra3,EC,5.715355167,4.49E-28
Sall1,EC,4.881305812,2.14E-27
Klra10,EC,9.055160636,5.37E-27
Gm13362,EC,4.644125679,1.79E-26
Gm8206,EC,7.649668468,4.17E-24
AU015791,EC,6.903136859,1.06E-22
Nepn,EC,4.528373515,3.03E-22
AC137513.1,EC,6.446042884,7.52E-22
Halr1,EC,4.956252764,1.30E-21
Gm3002,EC,4.710311657,1.31E-21
Lrrn1,EC,6.006131374,4.61E-21
Klk14,EC,5.023177485,4.20E-20
Gm15609,EC,5.783600819,1.09E-19
Gm3264,EC,6.047420353,2.58E-19
Odf3b,EC,4.528061035,5.06E-18
Gm8281,EC,5.138579605,5.70E-18
Ddi1,EC,4.594446829,8.14E-17
Ccl21a,EC,4.723185743,4.23E-15
Gm3411,EC,4.55558344,1.19E-14
Pde8b,Mural,7.558531026,0
Lin7a,Mural,7.507355339,0
Nrxn1,Mural,7.501143982,0
Zfp804b,Mural,7.380712055,0
Gm6249,Mural,7.368885091,0
Tmc5,Mural,7.274474518,0
Trpc3,Mural,7.269298275,0
Rerg,Mural,7.250245347,0
Lrfn2,Mural,7.178853746,0
Ace2,Mural,7.129764974,0
Iqsec3,Mural,7.059902697,0
Slc4a8,Mural,6.798140423,0
Bmp5,Mural,6.793092144,0
Egflam,Mural,6.620742154,0
Htr7,Mural,6.591061949,0
Kcnj8,Mural,6.438724567,0
Mdga2,Mural,6.354069004,0
Vtn,Mural,6.284288526,0
Serpini1,Mural,6.17211468,0
Ano1,Mural,6.132153704,0
Abcc9,Mural,5.968468075,0
Dgkb,Mural,5.95790256,0
Scn3a,Mural,5.920673536,0
Grm7,Mural,5.851766702,0
Il34,Mural,5.787935201,0
Colec11,Mural,5.755448893,0
Rgs4,Mural,5.750015699,0
P2ry14,Mural,5.703327007,0
Rasl12,Mural,5.4649605,0
Opcml,Mural,5.427616892,0
Vstm4,Mural,5.420479532,0
Notch3,Mural,5.387869547,0
Tbx3os1,Mural,5.385390324,0
Cspg4,Mural,5.357523617,0
Klhl23,Mural,5.340031601,0
Ntm,Mural,5.293026118,0
A830082K12Rik,Mural,5.200736981,0
4833422C13Rik,Mural,5.153629252,0
Lrrc4c,Mural,5.134778337,0
9330188P03Rik,Mural,5.131307271,0
Steap4,Mural,5.124793384,0
Zmat4,Mural,5.117129929,0
Atp1b2,Mural,5.11548579,0
Pde4c,Mural,5.068832867,0
Cpm,Mural,5.018535827,0
Gprc5c,Mural,5.009356822,0
Agap2,Mural,4.976374659,0
Gm30835,Mural,4.964572799,0
Mrvi1,Mural,4.914480263,0
Gm13470,Mural,4.900380249,0
Carmn,Mural,4.900141863,0
Cox4i2,Mural,4.830253435,0
Stac,Mural,6.235928985,1.82E-253
5330439B14Rik,Mural,6.186854177,6.94E-242
Il2ra,Mural,5.157370466,7.90E-228
Slc38a11,Mural,6.610948202,1.20E-176
Olfr558,Mural,5.031039308,1.71E-173
Samd13,Mural,4.903758115,1.53E-156
Trpc6,Mural,5.751398746,2.30E-154
4932435O22Rik,Mural,5.723388737,9.81E-153
Ephx3,Mural,5.477642653,2.86E-152
Spata18,Mural,6.62234,1.41E-149
Phox2a,Mural,6.64061686,3.14E-142
Sspo,Mural,4.934956528,2.53E-140
Lrrc23,Mural,5.393627111,1.68E-117
Gm16064,Mural,5.341082276,1.34E-106
Olfr78,Mural,5.550880042,6.57E-101
Elmod1,Mural,5.690539949,3.40E-93
Astn1,Mural,5.00737046,4.46E-91
Gm10848,Mural,5.074557214,1.37E-82
Lmod1,Mural,4.831919402,3.63E-70
Gm28258,Mural,4.88344861,1.68E-68
D030034A15Rik,Mural,5.232141067,8.45E-63
Ccn6,Mural,5.995837455,6.12E-62
Hrk,Mural,6.135906805,1.56E-56
Syt5,Mural,5.812454167,1.58E-56
Baiap3,Mural,5.409810999,1.96E-54
Clcnkb,Mural,5.365228361,3.95E-53
Adra2b,Mural,5.29735838,5.03E-50
Gm48350,Mural,5.402987958,2.34E-48
Nxph4,Mural,5.065088676,6.53E-48
D030045P18Rik,Mural,5.6746586,3.07E-46
Gm20139,Mural,4.927523805,6.01E-42
Stmnd1,Mural,5.358486728,7.44E-42
Ctxn3,Mural,5.678480086,1.05E-41
Gm38811,Mural,5.628116248,1.23E-37
Fhad1os2,Mural,5.971976989,4.90E-35
Slc51b,Mural,5.762154777,1.26E-33
Gm44764,Mural,5.05162183,2.42E-31
Gm35842,Mural,5.949603812,3.23E-28
Adra1d,Mural,7.063709244,1.21E-25
Gm29946,Mural,6.721175563,1.56E-25
Gm16029,Mural,6.41077097,1.56E-25
Olfr560,Mural,6.192802171,1.58E-25
Gm42456,Mural,4.850789422,1.18E-24
Kcnt1,Mural,5.494305989,1.78E-24
Gm16063,Mural,5.193543723,1.50E-21
Platr4,Mural,5.000058065,4.43E-21
Lncbate1,Mural,5.166881107,4.03E-20
5330434G04Rik,Mural,4.881859847,7.48E-15
Gm30489,Mye,9.880809604,0
Ms4a4a,Mye,8.31695738,0
F13a1,Mye,7.948259905,0
F630028O10Rik,Mye,7.849871721,0
Dpep2,Mye,7.710150019,0
Ms4a14,Mye,7.579747594,0
Cd163,Mye,7.488355195,0
Tfec,Mye,7.435820824,0
Tlr8,Mye,7.328261013,0
Gm21188,Mye,7.118693099,0
Rbm47,Mye,7.026002591,0
Gm40645,Mye,7.024316686,0
Kcnk13,Mye,7.008622973,0
Lilra5,Mye,6.978709283,0
Mrc1,Mye,6.959925427,0
Cd86,Mye,6.929886478,0
Lilr4b,Mye,6.906455513,0
Lilrb4a,Mye,6.905967042,0
Gm46224,Mye,6.898687652,0
Cass4,Mye,6.886738743,0
Tlr7,Mye,6.827163519,0
Gm35154,Mye,6.817794324,0
Alox5,Mye,6.766140072,0
Cd33,Mye,6.738644842,0
Ptpro,Mye,6.693041082,0
Nxpe5,Mye,6.638568689,0
Cd300lb,Mye,6.625010228,0
5033421B08Rik,Mye,6.603512131,0
Adgre1,Mye,6.461914929,0
Tbxas1,Mye,6.450737268,0
Ms4a6d,Mye,6.439141371,0
Aoah,Mye,6.424766738,0
Hck,Mye,6.402441535,0
St18,Mye,6.298422265,0
Rnf180,Mye,6.292130517,0
Gna15,Mye,6.280915895,0
Siglec1,Mye,6.280618713,0
Nfam1,Mye,6.245981583,0
Mgl2,Mye,6.219142473,0
Itgam,Mye,6.205724542,0
Sirpb1b,Mye,6.167847786,0
Fgd2,Mye,6.164576624,0
E330020D12Rik,Mye,6.162856896,0
Timd4,Mye,6.14631501,0
Vmn2r96,Mye,6.11569964,0
Gm5086,Mye,6.112970058,0
Rasgrp4,Mye,6.088134593,0
Slc11a1,Mye,6.085002977,0
Csf3r,Mye,6.078465276,0
Lair1,Mye,6.058345304,0
Ccl12,Mye,5.997603626,0
Hk3,Mye,5.972886017,0
Gm2245,Mye,5.964078597,0
Naip5,Mye,5.956095934,0
Myo1f,Mye,5.945592899,0
Ccr5,Mye,5.942281834,0
Cd300c2,Mye,5.900133616,0
Pirb,Mye,5.897513298,0
Pilra,Mye,6.263849617,1.74E-300
Cd300ld3,Mye,8.580112783,2.04E-269
Trim30c,Mye,6.680062918,4.12E-251
Lilra6,Mye,6.224490475,7.17E-246
Gm49144,Mye,6.237382358,9.98E-226
Adgre4,Mye,7.012854285,2.84E-213
Tlr5,Mye,6.016609275,7.55E-212
Gm454,Mye,7.429067662,5.96E-192
Ticam2,Mye,6.180630083,7.15E-186
Gm15448,Mye,7.63925359,1.12E-177
Gm5150,Mye,6.570074563,8.98E-171
Trpm2,Mye,5.98769534,7.95E-158
Gm36161,Mye,6.35944743,9.31E-156
Gm47754,Mye,6.621163491,5.52E-146
Slc39a12,Mye,6.117346492,2.04E-143
AU022793,Mye,7.653582618,1.92E-141
Clec4b1,Mye,6.17126783,5.67E-139
Gpr141,Mye,6.636071959,2.12E-131
Sirpb1a,Mye,6.564171028,2.01E-128
Pilrb2,Mye,6.998141114,3.96E-128
Gm42962,Mye,7.544916293,2.21E-119
Gm10441,Mye,8.607884428,1.24E-116
Gm40304,Mye,8.627222601,7.45E-114
Pilrb1,Mye,6.108656081,1.82E-109
Cd300ld2,Mye,7.470628476,2.76E-105
Gm34589,Mye,6.177930157,4.42E-100
Osm,Mye,5.932589689,1.61E-76
Defb39,Mye,7.198637295,3.11E-69
Clec4e,Mye,5.923096319,5.77E-63
Mmp13,Mye,6.009160252,1.87E-58
Siglece,Mye,6.380592957,1.02E-56
Gm30329,Mye,6.703235917,4.62E-50
Gm47675,Mye,6.289697885,5.72E-45
Cd209g,Mye,6.074193953,9.04E-41
Gm48065,Mye,6.938049986,7.22E-39
Gm46411,Mye,6.968127529,7.24E-39
D430036J16Rik,Mye,7.44255801,2.92E-33
Gm13373,Mye,6.349595746,5.16E-31
Treml4,Mye,6.595171214,1.18E-29
Ccl26,Mye,8.37515207,1.02E-27
Dcstamp,Mye,6.017301409,5.33E-27
A530010L16Rik,Mye,6.003325288,1.22E-23
Gm30211,Lym,10.9863248,0
Itk,Lym,10.32700473,0
Ly6d,Lym,10.32339146,0
Trbc1,Lym,10.23035691,0
Gm2682,Lym,9.923255864,0
Ikzf3,Lym,9.909337833,0
Cd19,Lym,9.80420655,0
Cd79a,Lym,9.743807114,0
Themis,Lym,9.684275844,0
Pax5,Lym,9.680046278,0
Iglc3,Lym,9.6710692,0
Gimap3,Lym,9.597782525,0
Siglecg,Lym,9.593159336,0
Skap1,Lym,9.451587285,0
2010309G21Rik,Lym,9.426087633,0
Lef1,Lym,9.425438545,0
Trbc2,Lym,9.385379713,0
Pou2af1,Lym,9.363805155,0
Fcmr,Lym,9.295007905,0
Cd3g,Lym,9.198149988,0
Iglc2,Lym,9.125737082,0
Cd3e,Lym,9.087325048,0
Ighd,Lym,8.987180931,0
Cd79b,Lym,8.868342557,0
Fcer2a,Lym,8.813872307,0
Ccr7,Lym,8.718242463,0
Blk,Lym,8.635284679,0
Lck,Lym,8.599461203,0
Cd3d,Lym,8.568997276,0
Btla,Lym,8.476608538,0
Tmem163,Lym,8.435916069,0
Ms4a1,Lym,8.374685676,0
Bcl11b,Lym,8.361175693,0
Ptprcap,Lym,8.273915868,0
Igkc,Lym,8.229065108,0
Txk,Lym,8.154423452,0
Grap2,Lym,8.147301169,0
Klrd1,Lym,8.137405245,0
Tcf7,Lym,8.106832112,0
P2ry10,Lym,8.099058979,0
Stat4,Lym,8.063943576,0
Tespa1,Lym,7.962859319,0
Cd2,Lym,7.832440908,0
Zfp831,Lym,7.832332548,0
Cd22,Lym,7.80128629,0
Ltb,Lym,7.796268435,0
Ifi214,Lym,7.7855169,0
Cd69,Lym,8.470277064,3.16E-296
Gm43388,Lym,8.447390612,5.86E-293
Klrk1,Lym,8.2126742,5.05E-289
Sh2d1a,Lym,8.72776231,3.49E-276
Gm47782,Lym,7.981542582,1.06E-234
Ccr6,Lym,8.146443865,6.86E-212
Tbx21,Lym,8.5902324,7.41E-210
Iglc1,Lym,10.82776046,1.46E-204
Nkg7,Lym,8.70369534,2.39E-204
Klrb1c,Lym,8.01518269,1.24E-177
Ncr1,Lym,9.669400991,1.20E-171
Il5ra,Lym,10.79930071,6.33E-159
Samd3,Lym,8.402966388,4.18E-158
Clnk,Lym,8.000518354,1.22E-145
A630023P12Rik,Lym,8.302224202,3.41E-133
Tnfrsf13c,Lym,8.287936279,3.04E-132
Cd8b1,Lym,9.113567491,5.31E-132
Eomes,Lym,9.044919599,8.60E-123
Tcrg-C4,Lym,10.35452136,1.50E-118
Cd8a,Lym,9.616593407,1.50E-118
Cd40lg,Lym,9.568038696,1.93E-115
4930426D05Rik,Lym,11.55474429,2.41E-114
Gm44174,Lym,8.792672976,6.59E-109
H2-Eb2,Lym,8.057362706,6.90E-109
A630014C17Rik,Lym,7.977128059,1.96E-106
1700027J07Rik,Lym,8.868628075,2.29E-104
Gm42722,Lym,7.814481898,3.77E-95
Gm47828,Lym,10.96844223,4.03E-85
Igkv2-109,Lym,10.87366476,4.03E-85
Gm15848,Lym,10.80011121,4.03E-85
Trbj2-7,Lym,10.58078141,4.03E-85
Gzma,Lym,7.853089738,1.20E-82
Izumo1r,Lym,8.65375324,2.32E-76
Gpr83,Lym,7.842844099,2.40E-76
Il9r,Lym,8.510443671,2.78E-74
Gm50386,Lym,8.159527212,3.55E-68
Myb,Lym,8.368297498,3.05E-58
Klrc1,Lym,10.2446431,5.70E-58
Tcrg-C1,Lym,7.859704677,4.80E-55
